Column1;Column2;Column3;Column4;Column5;Column6;Column7;Column8;Column9;Column10;Column11
date;method;ewc_lambda;mode;decay_factor;lr;train_epochs;batch_size;AA;AIA;FM
2026-02-16 10:14;EWC;10;online;0.95;0.01;30;128;0.0805;0.0794;0.7924
2026-02-16 10:30;EWC;50;online;0.95;0.01;30;128;0.0788;0.0775;0.7704
2026-02-16 10:47;EWC;100;online;0.95;0.01;30;128;0.01;0.0226;0.1617
2026-02-16 11:07;EWC;200;online;0.95;0.01;30;128;0.01;0.0227;0.1633
2026-02-16 11:23;EWC;500;online;0.95;0.01;30;128;0.01;0.0223;0.1586
2026-02-16 11:47;EWC;1.0;online;0.95;0.01;30;128;0.0849;0.0812;0.8079
2026-02-16 12:00;EWC;5.0;online;0.95;0.01;30;128;0.0845;0.0801;0.7966
;;;;;;;;;;
date;method;ewc_lambda;entropy_beta;mode;decay_factor;lr;train_epochs;batch_size;AA;AIA
2026-02-17 17:08;EWC-EJ;10;0.05;online;0.95;0.01;30;128;0.0801;0.0791
2026-02-17 17:28;EWC-EJ;10;0.1;online;0.95;0.01;30;128;0.0839;0.0798
2026-02-17 17:48;EWC-EJ;10;0.2;online;0.95;0.01;30;128;0.0798;0.0787
2026-02-17 18:09;EWC-EJ;50;0.05;online;0.95;0.01;30;128;0.0816;0.0784
2026-02-17 18:29;EWC-EJ;50;0.1;online;0.95;0.01;30;128;0.0789;0.0785
2026-02-17 18:50;EWC-EJ;50;0.2;online;0.95;0.01;30;128;0.0751;0.077
2026-02-17 19:10;EWC-EJ;100;0.05;online;0.95;0.01;30;128;0.01;0.0693
2026-02-17 19:30;EWC-EJ;100;0.1;online;0.95;0.01;30;128;0.01;0.0637
2026-02-17 19:51;EWC-EJ;100;0.2;online;0.95;0.01;30;128;0.01;0.0226
2026-02-17 20:11;EWC-EJ;200;0.05;online;0.95;0.01;30;128;0.01;0.0231
2026-02-17 20:31;EWC-EJ;200;0.1;online;0.95;0.01;30;128;0.01;0.049
2026-02-17 20:52;EWC-EJ;200;0.2;online;0.95;0.01;30;128;0.01;0.0601
;;;;;;;;;;
date;method;memory_size;lr;train_epochs;batch_size;AA;AIA;FM;;
2026-02-17 11:11;ICaRL;100;0.01;30;128;0.0961;0.0686;0.0944;;
2026-02-17 11:33;ICaRL;500;0.01;30;128;0.105;0.0757;0.1064;;
2026-02-17 12:01;ICaRL;1000;0.01;30;128;0.1112;0.077;0.1086;;
2026-02-17 12:25;ICaRL;2000;0.01;30;128;0.1151;0.0774;0.1019;;
2026-02-17 13:27;ICaRL;5000;0.01;30;128;0.1099;0.0726;0.1089;;
2026-02-17 15:27;ICaRL;500;0.1;50;128;0.2637;0.2057;0.4062;;
2026-02-17 15:59;ICaRL;1000;0.1;50;128;0.2685;0.2103;0.3817;;
2026-02-17 16:35;ICaRL;2000;0.1;50;128;0.2736;0.2164;0.3536;;
